"compounds","name","maxFlux"
"cpd00001","H2O",1000
"cpd00011","CO2",50
"cpd11640","H2",100
"cpd00009","Phosphate",100
"cpd00030","Mn2+",100
"cpd00034","Zn2+",100
"cpd00048","Sulfate",100
"cpd00058","Cu2+",100
"cpd00063","Ca2+",100
"cpd00067","H+",0.1
"cpd00099","Cl-",100
"cpd00149","Co2+",100
"cpd00205","K+",100
"cpd00254","Mg",100
"cpd00531","Hg2+",100
"cpd00971","Na+",100
"cpd01012","Cd2+",100
"cpd01048","Arsenate",100
"cpd10515","Fe2+",100
"cpd10516","fe3",0.01
"cpd11595","chromate",100
"cpd00013","NH3",100
"cpd11574","Molybdate",100
"cpd00244","Ni2+",100
"cpd00029","Acetate",0
